Timestamp,ElapsedSeconds,TemperatureCelsius
20260614_194245,0,55.50
20260614_194246,1,57.00
20260614_194247,2,58.62
20260614_194248,3,59.88
20260614_194249,4,60.25
20260614_194250,5,60.50
20260614_194251,6,60.75
20260614_194252,7,61.38
20260614_194253,8,61.50
20260614_194254,9,61.50
20260614_194255,10,62.00
20260614_194256,11,62.25
20260614_194257,12,62.62
20260614_194258,13,62.88
20260614_194259,14,62.88
20260614_194300,15,63.00
20260614_194301,16,63.50
20260614_194302,17,63.62
20260614_194303,18,63.88
20260614_194304,19,63.88
20260614_194305,20,64.00
20260614_194306,21,64.00
20260614_194307,22,64.00
20260614_194308,23,64.00
20260614_194309,24,64.12
20260614_194310,25,64.12
20260614_194311,26,64.38
20260614_194312,27,64.38
20260614_194313,28,64.75
20260614_194314,29,64.75
20260614_194315,30,64.75
20260614_194316,31,64.75
20260614_194317,32,64.75
20260614_194318,33,65.00
20260614_194319,34,65.00
20260614_194320,35,65.00
20260614_194321,36,65.00
20260614_194322,37,65.25
20260614_194323,38,65.38
20260614_194324,39,65.50
20260614_194325,40,65.75
20260614_194326,41,65.75
20260614_194327,42,65.75
20260614_194328,43,65.75
20260614_194329,44,65.88
20260614_194330,45,66.00
20260614_194331,46,66.00
20260614_194332,47,66.00
20260614_194333,48,66.00
20260614_194334,49,66.00
20260614_194335,50,66.25
20260614_194336,51,66.25
20260614_194337,52,66.25
20260614_194338,53,66.50
20260614_194339,54,66.50
20260614_194340,55,66.50
20260614_194341,56,66.50
20260614_194342,57,66.75
20260614_194343,58,66.75
20260614_194344,59,66.75
20260614_194345,60,66.75
