Timestamp,ElapsedSeconds,TemperatureCelsius
20260614_193911,0,54.75
20260614_193912,1,56.25
20260614_193913,2,57.88
20260614_193914,3,59.25
20260614_193915,4,60.00
20260614_193916,5,60.12
20260614_193917,6,60.50
20260614_193918,7,60.75
20260614_193919,8,61.00
20260614_193920,9,61.50
20260614_193921,10,61.62
20260614_193922,11,61.75
20260614_193923,12,62.25
20260614_193924,13,62.38
20260614_193925,14,62.50
20260614_193926,15,62.75
20260614_193927,16,63.00
20260614_193928,17,63.00
20260614_193929,18,63.25
20260614_193930,19,63.62
20260614_193931,20,63.88
20260614_193932,21,63.88
20260614_193933,22,63.88
20260614_193934,23,64.00
20260614_193935,24,64.12
20260614_193936,25,64.12
20260614_193937,26,64.25
20260614_193938,27,64.25
20260614_193939,28,64.38
20260614_193940,29,64.50
20260614_193941,30,64.50
20260614_193942,31,64.50
20260614_193943,32,64.62
20260614_193944,33,64.62
20260614_193945,34,64.75
20260614_193946,35,64.88
20260614_193947,36,65.00
20260614_193948,37,65.00
20260614_193949,38,65.00
20260614_193950,39,65.12
20260614_193951,40,65.25
20260614_193952,41,65.25
20260614_193953,42,65.38
20260614_193954,43,65.50
20260614_193955,44,65.50
20260614_193956,45,65.50
20260614_193957,46,65.50
20260614_193958,47,65.62
20260614_193959,48,65.75
20260614_194000,49,65.88
20260614_194001,50,66.00
20260614_194002,51,66.00
20260614_194003,52,66.12
20260614_194004,53,66.12
20260614_194005,54,66.25
20260614_194006,55,66.25
20260614_194007,56,66.25
20260614_194008,57,66.25
20260614_194009,58,66.50
20260614_194010,59,66.50
20260614_194011,60,66.50
