Timestamp,ElapsedSeconds,TemperatureCelsius
20260607_085010,0,41.50
20260607_085011,1,58.38
20260607_085012,2,66.50
20260607_085013,3,70.38
20260607_085014,4,72.50
20260607_085015,5,73.75
20260607_085016,6,74.75
20260607_085017,7,75.38
20260607_085018,8,75.38
20260607_085019,9,74.75
20260607_085020,10,74.38
20260607_085021,11,73.88
20260607_085022,12,73.62
20260607_085023,13,73.25
20260607_085024,14,73.00
20260607_085025,15,72.75
20260607_085026,16,72.62
20260607_085027,17,72.38
20260607_085028,18,72.25
20260607_085029,19,72.25
20260607_085030,20,72.12
20260607_085031,21,72.00
20260607_085032,22,72.00
20260607_085033,23,72.00
20260607_085034,24,72.00
20260607_085035,25,72.00
20260607_085036,26,72.12
20260607_085037,27,72.25
20260607_085038,28,72.25
20260607_085039,29,72.25
20260607_085040,30,72.50
20260607_085041,31,72.50
20260607_085042,32,72.62
20260607_085043,33,72.75
20260607_085044,34,72.75
20260607_085045,35,72.88
20260607_085046,36,72.88
20260607_085047,37,73.00
20260607_085048,38,73.12
20260607_085049,39,73.12
20260607_085050,40,73.12
20260607_085051,41,73.25
20260607_085052,42,73.25
20260607_085053,43,73.38
20260607_085054,44,73.50
20260607_085055,45,73.62
20260607_085056,46,73.62
20260607_085057,47,73.75
20260607_085058,48,73.88
20260607_085059,49,73.88
20260607_085100,50,74.00
20260607_085101,51,74.00
20260607_085102,52,74.12
20260607_085103,53,74.25
20260607_085104,54,74.25
20260607_085105,55,74.38
20260607_085106,56,74.38
20260607_085107,57,74.38
20260607_085108,58,74.50
20260607_085109,59,74.50
20260607_085110,60,74.50
