Timestamp,ElapsedSeconds,TemperatureCelsius
20260607_083146,0,45.75
20260607_083147,1,58.50
20260607_083148,2,65.00
20260607_083149,3,68.38
20260607_083150,4,70.25
20260607_083151,5,71.38
20260607_083152,6,72.25
20260607_083153,7,73.00
20260607_083154,8,72.75
20260607_083155,9,72.25
20260607_083156,10,71.75
20260607_083157,11,71.38
20260607_083158,12,71.00
20260607_083159,13,70.62
20260607_083200,14,70.38
20260607_083201,15,70.12
20260607_083202,16,70.00
20260607_083203,17,69.75
20260607_083204,18,69.62
20260607_083205,19,69.50
20260607_083206,20,69.50
20260607_083207,21,69.38
20260607_083208,22,69.38
20260607_083209,23,69.38
20260607_083210,24,69.38
20260607_083211,25,69.50
20260607_083212,26,69.50
20260607_083213,27,69.62
20260607_083214,28,69.75
20260607_083215,29,69.88
20260607_083216,30,70.00
20260607_083217,31,70.12
20260607_083218,32,70.12
20260607_083219,33,70.25
20260607_083220,34,70.38
20260607_083221,35,70.50
20260607_083222,36,70.50
20260607_083223,37,70.62
20260607_083224,38,70.75
20260607_083225,39,70.75
20260607_083226,40,70.88
20260607_083227,41,71.00
20260607_083228,42,71.12
20260607_083229,43,71.25
20260607_083230,44,71.25
20260607_083231,45,71.38
20260607_083232,46,71.50
20260607_083233,47,71.62
20260607_083234,48,71.62
20260607_083235,49,71.75
20260607_083236,50,71.75
20260607_083237,51,71.88
20260607_083238,52,71.88
20260607_083239,53,72.00
20260607_083240,54,72.00
20260607_083241,55,72.12
20260607_083242,56,72.12
20260607_083243,57,72.25
20260607_083244,58,72.38
20260607_083245,59,72.38
20260607_083246,60,72.50
