Timestamp,ElapsedSeconds,TemperatureCelsius
20260614_163902,0,46.25
20260614_163903,1,48.20
20260614_163904,2,48.69
20260614_163905,3,48.69
20260614_163906,4,49.66
20260614_163907,5,48.69
20260614_163908,6,49.17
20260614_163909,7,49.66
20260614_163910,8,49.17
20260614_163911,9,50.63
20260614_163912,10,49.17
20260614_163913,11,49.66
20260614_163914,12,49.66
20260614_163915,13,50.63
20260614_163916,14,50.15
20260614_163917,15,49.66
20260614_163918,16,49.66
20260614_163919,17,50.15
20260614_163920,18,50.15
20260614_163921,19,49.17
20260614_163922,20,50.15
20260614_163923,21,50.63
20260614_163924,22,50.15
20260614_163925,23,49.66
20260614_163926,24,51.12
20260614_163927,25,50.63
20260614_163928,26,50.63
20260614_163929,27,50.15
20260614_163930,28,50.63
20260614_163931,29,51.12
20260614_163932,30,50.63
20260614_163933,31,51.12
20260614_163934,32,50.63
20260614_163935,33,50.63
20260614_163936,34,50.63
20260614_163937,35,51.61
20260614_163938,36,51.12
20260614_163939,37,51.12
20260614_163940,38,51.61
20260614_163941,39,50.63
20260614_163942,40,51.61
20260614_163943,41,51.61
20260614_163944,42,50.63
20260614_163945,43,50.15
20260614_163946,44,51.12
20260614_163947,45,50.63
20260614_163948,46,52.58
20260614_163949,47,51.61
20260614_163950,48,51.61
20260614_163951,49,50.15
20260614_163952,50,52.09
20260614_163953,51,51.12
20260614_163954,52,52.09
20260614_163955,53,51.12
20260614_163956,54,50.63
20260614_163957,55,51.61
20260614_163958,56,52.58
20260614_163959,57,51.61
20260614_164000,58,51.61
20260614_164001,59,52.09
20260614_164002,60,51.12
