Timestamp,ElapsedSeconds,TemperatureCelsius
20260614_163501,0,46.25
20260614_163502,1,49.17
20260614_163503,2,49.66
20260614_163504,3,49.66
20260614_163505,4,50.15
20260614_163506,5,50.63
20260614_163507,6,50.15
20260614_163508,7,50.15
20260614_163509,8,50.15
20260614_163510,9,50.63
20260614_163511,10,51.12
20260614_163512,11,51.61
20260614_163513,12,51.12
20260614_163514,13,50.63
20260614_163515,14,51.12
20260614_163516,15,50.63
20260614_163517,16,50.63
20260614_163518,17,51.12
20260614_163519,18,50.63
20260614_163520,19,51.61
20260614_163521,20,51.12
20260614_163522,21,51.12
20260614_163523,22,50.15
20260614_163524,23,52.09
20260614_163525,24,51.61
20260614_163526,25,51.12
20260614_163527,26,51.12
20260614_163528,27,51.12
20260614_163529,28,52.09
20260614_163530,29,52.09
20260614_163531,30,50.63
20260614_163532,31,52.09
20260614_163533,32,52.09
20260614_163534,33,51.61
20260614_163535,34,52.58
20260614_163536,35,51.61
20260614_163537,36,50.63
20260614_163538,37,51.61
20260614_163539,38,51.61
20260614_163540,39,52.58
20260614_163541,40,52.09
20260614_163542,41,51.61
20260614_163543,42,53.07
20260614_163544,43,51.12
20260614_163545,44,52.09
20260614_163546,45,52.58
20260614_163547,46,52.09
20260614_163548,47,52.09
20260614_163549,48,52.09
20260614_163550,49,51.61
20260614_163551,50,51.61
20260614_163552,51,52.09
20260614_163553,52,52.58
20260614_163554,53,52.09
20260614_163555,54,51.61
20260614_163556,55,52.09
20260614_163557,56,51.61
20260614_163558,57,52.58
20260614_163559,58,52.09
20260614_163600,59,53.07
20260614_163601,60,52.09
