Timestamp,ElapsedSeconds,TemperatureCelsius
20260613_205411,0,59.00
20260613_205412,1,71.00
20260613_205413,2,69.00
20260613_205414,3,69.00
20260613_205415,4,69.00
20260613_205416,5,69.00
20260613_205417,6,69.00
20260613_205418,7,69.00
20260613_205419,8,71.00
20260613_205420,9,71.00
20260613_205421,10,67.00
20260613_205422,11,67.00
20260613_205423,12,67.00
20260613_205424,13,66.00
20260613_205425,14,67.00
20260613_205426,15,66.00
20260613_205427,16,67.00
20260613_205428,17,66.00
20260613_205429,18,67.00
20260613_205430,19,67.00
20260613_205431,20,65.00
20260613_205432,21,65.00
20260613_205433,22,67.00
20260613_205434,23,68.00
20260613_205435,24,67.00
20260613_205436,25,68.00
20260613_205437,26,66.00
20260613_205438,27,68.00
20260613_205439,28,67.00
20260613_205440,29,66.00
20260613_205441,30,67.00
20260613_205442,31,67.00
20260613_205443,32,67.00
20260613_205444,33,66.00
20260613_205445,34,67.00
20260613_205446,35,67.00
20260613_205447,36,66.00
20260613_205448,37,67.00
20260613_205449,38,68.00
20260613_205450,39,67.00
20260613_205451,40,68.00
20260613_205452,41,68.00
20260613_205453,42,68.00
20260613_205454,43,68.00
20260613_205455,44,67.00
20260613_205456,45,67.00
20260613_205457,46,67.00
20260613_205458,47,68.00
20260613_205459,48,67.00
20260613_205500,49,67.00
20260613_205501,50,67.00
20260613_205502,51,67.00
20260613_205503,52,67.00
20260613_205504,53,67.00
20260613_205505,54,69.00
20260613_205506,55,68.00
20260613_205507,56,67.00
20260613_205508,57,67.00
20260613_205509,58,67.00
20260613_205510,59,67.00
20260613_205511,60,67.00
