Timestamp,ElapsedSeconds,TemperatureCelsius
20260613_205130,0,57.00
20260613_205131,1,75.00
20260613_205132,2,75.00
20260613_205133,3,76.00
20260613_205134,4,75.00
20260613_205135,5,77.00
20260613_205136,6,76.00
20260613_205137,7,76.00
20260613_205138,8,77.00
20260613_205139,9,76.00
20260613_205140,10,70.00
20260613_205141,11,71.00
20260613_205142,12,70.00
20260613_205143,13,70.00
20260613_205144,14,69.00
20260613_205145,15,71.00
20260613_205146,16,67.00
20260613_205147,17,68.00
20260613_205148,18,70.00
20260613_205149,19,69.00
20260613_205150,20,69.00
20260613_205151,21,69.00
20260613_205152,22,71.00
20260613_205153,23,70.00
20260613_205154,24,69.00
20260613_205155,25,70.00
20260613_205156,26,67.00
20260613_205157,27,69.00
20260613_205158,28,69.00
20260613_205159,29,70.00
20260613_205200,30,71.00
20260613_205201,31,71.00
20260613_205202,32,69.00
20260613_205203,33,70.00
20260613_205204,34,71.00
20260613_205205,35,69.00
20260613_205206,36,69.00
20260613_205207,37,68.00
20260613_205208,38,69.00
20260613_205209,39,68.00
20260613_205210,40,69.00
20260613_205211,41,69.00
20260613_205212,42,69.00
20260613_205213,43,67.00
20260613_205214,44,70.00
20260613_205215,45,71.00
20260613_205216,46,70.00
20260613_205217,47,71.00
20260613_205218,48,71.00
20260613_205219,49,71.00
20260613_205220,50,69.00
20260613_205221,51,71.00
20260613_205222,52,70.00
20260613_205223,53,71.00
20260613_205224,54,71.00
20260613_205225,55,71.00
20260613_205226,56,72.00
20260613_205227,57,71.00
20260613_205228,58,71.00
20260613_205229,59,71.00
20260613_205230,60,71.00
