Timestamp,ElapsedSeconds,TemperatureCelsius
20260606_184515,0,55.00
20260606_184516,1,76.00
20260606_184517,2,75.00
20260606_184518,3,76.00
20260606_184519,4,78.00
20260606_184520,5,79.00
20260606_184521,6,78.00
20260606_184522,7,79.00
20260606_184523,8,78.00
20260606_184524,9,78.00
20260606_184525,10,79.00
20260606_184526,11,79.00
20260606_184527,12,79.00
20260606_184528,13,78.00
20260606_184529,14,80.00
20260606_184530,15,79.00
20260606_184531,16,80.00
20260606_184532,17,79.00
20260606_184533,18,79.00
20260606_184534,19,79.00
20260606_184535,20,79.00
20260606_184536,21,80.00
20260606_184537,22,80.00
20260606_184538,23,80.00
20260606_184539,24,79.00
20260606_184540,25,80.00
20260606_184541,26,80.00
20260606_184542,27,81.00
20260606_184543,28,80.00
20260606_184544,29,81.00
20260606_184545,30,80.00
20260606_184546,31,80.00
20260606_184547,32,80.00
20260606_184548,33,80.00
20260606_184549,34,80.00
20260606_184550,35,83.00
20260606_184551,36,84.00
20260606_184552,37,83.00
20260606_184553,38,80.00
20260606_184554,39,81.00
20260606_184555,40,84.00
20260606_184556,41,81.00
20260606_184557,42,81.00
20260606_184558,43,80.00
20260606_184559,44,80.00
20260606_184600,45,84.00
20260606_184601,46,81.00
20260606_184602,47,80.00
20260606_184603,48,80.00
20260606_184604,49,81.00
20260606_184605,50,81.00
20260606_184606,51,80.00
20260606_184607,52,80.00
20260606_184608,53,83.00
20260606_184609,54,80.00
20260606_184610,55,84.00
20260606_184611,56,80.00
20260606_184612,57,80.00
20260606_184613,58,80.00
20260606_184614,59,80.00
20260606_184615,60,80.00
