Timestamp,ElapsedSeconds,TemperatureCelsius
20260606_183411,0,53.00
20260606_183412,1,84.00
20260606_183413,2,84.00
20260606_183414,3,85.00
20260606_183415,4,85.00
20260606_183416,5,85.00
20260606_183417,6,84.00
20260606_183418,7,85.00
20260606_183419,8,84.00
20260606_183420,9,85.00
20260606_183421,10,85.00
20260606_183422,11,85.00
20260606_183423,12,85.00
20260606_183424,13,85.00
20260606_183425,14,85.00
20260606_183426,15,84.00
20260606_183427,16,84.00
20260606_183428,17,85.00
20260606_183429,18,85.00
20260606_183430,19,85.00
20260606_183431,20,85.00
20260606_183432,21,84.00
20260606_183433,22,85.00
20260606_183434,23,85.00
20260606_183435,24,85.00
20260606_183436,25,85.00
20260606_183437,26,84.00
20260606_183438,27,84.00
20260606_183439,28,85.00
20260606_183440,29,85.00
20260606_183441,30,85.00
20260606_183442,31,85.00
20260606_183443,32,84.00
20260606_183444,33,85.00
20260606_183445,34,84.00
20260606_183446,35,85.00
20260606_183447,36,85.00
20260606_183448,37,84.00
20260606_183449,38,85.00
20260606_183450,39,84.00
20260606_183451,40,85.00
20260606_183452,41,85.00
20260606_183453,42,85.00
20260606_183454,43,85.00
20260606_183455,44,84.00
20260606_183456,45,84.00
20260606_183457,46,84.00
20260606_183458,47,84.00
20260606_183459,48,85.00
20260606_183500,49,84.00
20260606_183501,50,85.00
20260606_183502,51,84.00
20260606_183503,52,84.00
20260606_183504,53,85.00
20260606_183505,54,84.00
20260606_183506,55,84.00
20260606_183507,56,85.00
20260606_183508,57,85.00
20260606_183509,58,84.00
20260606_183510,59,84.00
20260606_183511,60,85.00
